Temperatura;Kernel;Modelo;Passo;Coeficientes
0;2;RedeNeural.Univariado;68;0,0833333333333333
NA;NA;(Intercept);69;0
1;1;Linear.TmpMaxima;69;0,0833333333333333
3;1;Linear.TmpMaxMin;69;0,0833333333333333
2;1;Linear.TmpMedia;69;0,0833333333333333
0;1;Linear.Univariado;69;0,0833333333333333
1;0;Radial.TmpMaxima;69;0,0833333333333333
3;0;Radial.TmpMaxMin;69;0,0833333333333333
2;0;Radial.TmpMedia;69;0,0833333333333333
0;0;Radial.Univariado;69;0,0833333333333333
1;2;RedeNeural.TmpMaxima;69;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;69;0,0833333333333333
2;2;RedeNeural.TmpMedia;69;0,0833333333333333
0;2;RedeNeural.Univariado;69;0,0833333333333333
NA;NA;(Intercept);70;0
1;1;Linear.TmpMaxima;70;0,0833333333333333
3;1;Linear.TmpMaxMin;70;0,0833333333333333
2;1;Linear.TmpMedia;70;0,0833333333333333
0;1;Linear.Univariado;70;0,0833333333333333
1;0;Radial.TmpMaxima;70;0,0833333333333333
3;0;Radial.TmpMaxMin;70;0,0833333333333333
2;0;Radial.TmpMedia;70;0,0833333333333333
0;0;Radial.Univariado;70;0,0833333333333333
1;2;RedeNeural.TmpMaxima;70;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;70;0,0833333333333333
2;2;RedeNeural.TmpMedia;70;0,0833333333333333
0;2;RedeNeural.Univariado;70;0,0833333333333333
NA;NA;(Intercept);71;0
1;1;Linear.TmpMaxima;71;0,0833333333333333
3;1;Linear.TmpMaxMin;71;0,0833333333333333
2;1;Linear.TmpMedia;71;0,0833333333333333
0;1;Linear.Univariado;71;0,0833333333333333
1;0;Radial.TmpMaxima;71;0,0833333333333333
3;0;Radial.TmpMaxMin;71;0,0833333333333333
2;0;Radial.TmpMedia;71;0,0833333333333333
0;0;Radial.Univariado;71;0,0833333333333333
1;2;RedeNeural.TmpMaxima;71;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;71;0,0833333333333333
2;2;RedeNeural.TmpMedia;71;0,0833333333333333
0;2;RedeNeural.Univariado;71;0,0833333333333333
NA;NA;(Intercept);72;0
1;1;Linear.TmpMaxima;72;0,0833333333333333
3;1;Linear.TmpMaxMin;72;0,0833333333333333
2;1;Linear.TmpMedia;72;0,0833333333333333
0;1;Linear.Univariado;72;0,0833333333333333
1;0;Radial.TmpMaxima;72;0,0833333333333333
3;0;Radial.TmpMaxMin;72;0,0833333333333333
2;0;Radial.TmpMedia;72;0,0833333333333333
0;0;Radial.Univariado;72;0,0833333333333333
1;2;RedeNeural.TmpMaxima;72;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;72;0,0833333333333333
2;2;RedeNeural.TmpMedia;72;0,0833333333333333
0;2;RedeNeural.Univariado;72;0,0833333333333333
NA;NA;(Intercept);73;0
1;1;Linear.TmpMaxima;73;0,0833333333333333
3;1;Linear.TmpMaxMin;73;0,0833333333333333
2;1;Linear.TmpMedia;73;0,0833333333333333
0;1;Linear.Univariado;73;0,0833333333333333
1;0;Radial.TmpMaxima;73;0,0833333333333333
3;0;Radial.TmpMaxMin;73;0,0833333333333333
2;0;Radial.TmpMedia;73;0,0833333333333333
0;0;Radial.Univariado;73;0,0833333333333333
1;2;RedeNeural.TmpMaxima;73;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;73;0,0833333333333333
2;2;RedeNeural.TmpMedia;73;0,0833333333333333
0;2;RedeNeural.Univariado;73;0,0833333333333333
NA;NA;(Intercept);74;0
1;1;Linear.TmpMaxima;74;0,0833333333333333
3;1;Linear.TmpMaxMin;74;0,0833333333333333
2;1;Linear.TmpMedia;74;0,0833333333333333
0;1;Linear.Univariado;74;0,0833333333333333
1;0;Radial.TmpMaxima;74;0,0833333333333333
3;0;Radial.TmpMaxMin;74;0,0833333333333333
2;0;Radial.TmpMedia;74;0,0833333333333333
0;0;Radial.Univariado;74;0,0833333333333333
1;2;RedeNeural.TmpMaxima;74;0,0833333333333333
3;2;RedeNeural.TmpMaxMin;74;0,0833333333333333
2;2;RedeNeural.TmpMedia;74;0,0833333333333333
0;2;RedeNeural.Univariado;74;0,0833333333333333
NA;NA;(Intercept);75;0
1;1;Linear.TmpMaxima;75;0,0833333333333333
3;1;Linear.TmpMaxMin;75;0,0833333333333333
2;1;Linear.TmpMedia;75;0,0833333333333333
0;1;Linear.Univariado;75;0,0833333333333333
1;0;Radial.TmpMaxima;75;0,0833333333333333
3;0;Radial.TmpMaxMin;75;0,0833333333333333
