Ano;Mes;Dia;Hora;Min;Carga
2014;1;8;8;0;38280,4
2014;1;8;9;0;41958,4
2014;1;8;10;0;44210,8
2014;1;8;11;0;45595,3
2014;1;8;12;0;45664,5
2014;1;8;13;0;45369,4
2014;1;8;14;0;46850,6
2014;1;8;15;0;47707,3
2014;1;8;16;0;47954,3
2014;1;8;17;0;47527
2014;1;8;18;0;45079,5
2014;1;8;19;0;41637,8
2014;1;8;20;0;40666,5
2014;1;8;21;0;44746,4
2014;1;8;22;0;45919,9
2014;1;8;23;0;45512,8
2014;1;9;0;0;43624,9
2014;1;9;1;0;40331
2014;1;9;2;0;37838,9
2014;1;9;3;0;36449,6
2014;1;9;4;0;35493,4
2014;1;9;5;0;35320,3
2014;1;9;6;0;35930,6
2014;1;9;7;0;36686,2
2014;1;9;8;0;38906
2014;1;9;9;0;42475,8
2014;1;9;10;0;44817,7
2014;1;9;11;0;46262,4
2014;1;9;12;0;45980,4
2014;1;9;13;0;45860,7
2014;1;9;14;0;47062,4
2014;1;9;15;0;47759,6
2014;1;9;16;0;48118,8
2014;1;9;17;0;47531,6
2014;1;9;18;0;44840,6
2014;1;9;19;0;41526,8
2014;1;9;20;0;40666,9
2014;1;9;21;0;44564,8
2014;1;9;22;0;45731,4
2014;1;9;23;0;45372,8
2014;1;10;0;0;43869,1
2014;1;10;1;0;40356,7
2014;1;10;2;0;37962,5
2014;1;10;3;0;36599,6
2014;1;10;4;0;35700,9
2014;1;10;5;0;35573,2
2014;1;10;6;0;36216,4
2014;1;10;7;0;37129,6
2014;1;10;8;0;39471,4
2014;1;10;9;0;42986,3
2014;1;10;10;0;45355,1
2014;1;10;11;0;46834,4
2014;1;10;12;0;46568,4
2014;1;10;13;0;46277,2
2014;1;10;14;0;47445,8
2014;1;10;15;0;48115,8
2014;1;10;16;0;47986,8
2014;1;10;17;0;46694,2
2014;1;10;18;0;44637
2014;1;10;19;0;41548,6
2014;1;10;20;0;40876,3
2014;1;10;21;0;44231,6
2014;1;10;22;0;45095,1
2014;1;10;23;0;44813
2014;1;11;0;0;43322,9
2014;1;11;1;0;40581,2
2014;1;11;2;0;38429,9
2014;1;11;3;0;36822,9
2014;1;11;4;0;35905,6
2014;1;11;5;0;35476,5
2014;1;11;6;0;35462
2014;1;11;7;0;34850
2014;1;11;8;0;35336,1
2014;1;11;9;0;37579,8
2014;1;11;10;0;39368,2
2014;1;11;11;0;40218,7
2014;1;11;12;0;40457,7
2014;1;11;13;0;40190,1
2014;1;11;14;0;39983,7
2014;1;11;15;0;39870,5
2014;1;11;16;0;39718,9
2014;1;11;17;0;39499,6
2014;1;11;18;0;39262,3
2014;1;11;19;0;39084,9
2014;1;11;20;0;39710,8
2014;1;11;21;0;43578,1
2014;1;11;22;0;43480
2014;1;11;23;0;42013,2
2014;1;12;0;0;40134
2014;1;12;1;0;38017,3
2014;1;12;2;0;35927
2014;1;12;3;0;34413,7
2014;1;12;4;0;33482,5
2014;1;12;5;0;32918,3
2014;1;12;6;0;32540,8
2014;1;12;7;0;31580,1
2014;1;12;8;0;30950
2014;1;12;9;0;31736,4
2014;1;12;10;0;32683,2
2014;1;12;11;0;33282
2014;1;12;12;0;33832,2
2014;1;12;13;0;34082,1
2014;1;12;14;0;34025,9
2014;1;12;15;0;34072,9
2014;1;12;16;0;34165,4
2014;1;12;17;0;34235
2014;1;12;18;0;34836,3
2014;1;12;19;0;35319,8
2014;1;12;20;0;36136,6
2014;1;12;21;0;39950,8
2014;1;12;22;0;41038,8
2014;1;12;23;0;40493,9
2014;1;13;0;0;39085,7
2014;1;13;1;0;36638,8
2014;1;13;2;0;34917,4
2014;1;13;3;0;33886,9
2014;1;13;4;0;33299
2014;1;13;5;0;33214,3
2014;1;13;6;0;34174
2014;1;13;7;0;35540,8
2014;1;13;8;0;38139,8
2014;1;13;9;0;41783,4
2014;1;13;10;0;44312
2014;1;13;11;0;45688,1
2014;1;13;12;0;45697,9
2014;1;13;13;0;45423,4
2014;1;13;14;0;46917,2
2014;1;13;15;0;47736,2
2014;1;13;16;0;47274,7
2014;1;13;17;0;46564,8
2014;1;13;18;0;44391,5
2014;1;13;19;0;41103,5
2014;1;13;20;0;40394,4
2014;1;13;21;0;44118,3
2014;1;13;22;0;44950,6
2014;1;13;23;0;44356,6
2014;1;14;0;0;42475,9
2014;1;14;1;0;38573,2
2014;1;14;2;0;36228,7
2014;1;14;3;0;35011,8
2014;1;14;4;0;34527,7
2014;1;14;5;0;34370,3
2014;1;14;6;0;35128,8
2014;1;14;7;0;36265
2014;1;14;8;0;38591,1
2014;1;14;9;0;42101,8
2014;1;14;10;0;44547,1
2014;1;14;11;0;46170,1
2014;1;14;12;0;46104,2
2014;1;14;13;0;45814,2
2014;1;14;14;0;47295,6
2014;1;14;15;0;48242,8
2014;1;14;16;0;48510,9
2014;1;14;17;0;47961,5
2014;1;14;18;0;45218,1
2014;1;14;19;0;41475,9
2014;1;14;20;0;40690,5
2014;1;14;21;0;44051,5
2014;1;14;22;0;45080,2
2014;1;14;23;0;44963
2014;1;15;0;0;42674,4
2014;1;15;1;0;39418,1
2014;1;15;2;0;37216,1
2014;1;15;3;0;35759
2014;1;15;4;0;35028
2014;1;15;5;0;35057,1
2014;1;15;6;0;35910,8
2014;1;15;7;0;37124,3
2014;1;15;8;0;39254,6
2014;1;15;9;0;42552,1
2014;1;15;10;0;44989,5
2014;1;15;11;0;46238,1
2014;1;15;12;0;46083
2014;1;15;13;0;45890,7
2014;1;15;14;0;47389,7
2014;1;15;15;0;48476,5
2014;1;15;16;0;48564,2
2014;1;15;17;0;47844,8
2014;1;15;18;0;45253,3
2014;1;15;19;0;41998
2014;1;15;20;0;41168,7
2014;1;15;21;0;44838,7
2014;1;15;22;0;45411,1
2014;1;15;23;0;45117,4
2014;1;16;0;0;43271,7
2014;1;16;1;0;39986,6
2014;1;16;2;0;37427
2014;1;16;3;0;36184,5
2014;1;16;4;0;35531,3
2014;1;16;5;0;35313,4
2014;1;16;6;0;35856,2
2014;1;16;7;0;37028,3
2014;1;16;8;0;39292,5
2014;1;16;9;0;42718,1
2014;1;16;10;0;44994,3
2014;1;16;11;0;46295
2014;1;16;12;0;45966,7
2014;1;16;13;0;45468,7
2014;1;16;14;0;46753,1
2014;1;16;15;0;47383,5
2014;1;16;16;0;47438,8
2014;1;16;17;0;47168,8
2014;1;16;18;0;44366,4
2014;1;16;19;0;41420,2
2014;1;16;20;0;40416,5
2014;1;16;21;0;43559,1
2014;1;16;22;0;44276,1
2014;1;16;23;0;43733,7
2014;1;17;0;0;41621,9
2014;1;17;1;0;38540
2014;1;17;2;0;36116,9
2014;1;17;3;0;34664
2014;1;17;4;0;33984,7
2014;1;17;5;0;34100,6
2014;1;17;6;0;34948,9
2014;1;17;7;0;36551
2014;1;17;8;0;38740,8
2014;1;17;9;0;42038,9
2014;1;17;10;0;44345,3
2014;1;17;11;0;45696,9
2014;1;17;12;0;45571,3
2014;1;17;13;0;45430,3
2014;1;17;14;0;46564,7
2014;1;17;15;0;46946
2014;1;17;16;0;46470,9
2014;1;17;17;0;45572,7
2014;1;17;18;0;43741,4
2014;1;17;19;0;40750,6
2014;1;17;20;0;40370,7
2014;1;17;21;0;42949,7
2014;1;17;22;0;43184,3
2014;1;17;23;0;42463,8
2014;1;18;0;0;40574,8
2014;1;18;1;0;38000,1
2014;1;18;2;0;35344,6
2014;1;18;3;0;33891,6
2014;1;18;4;0;33211,6
2014;1;18;5;0;32875,2
2014;1;18;6;0;32802,2
2014;1;18;7;0;32956,3
2014;1;18;8;0;33463,8
2014;1;18;9;0;35501,3
2014;1;18;10;0;37358,3
2014;1;18;11;0;38448,8
2014;1;18;12;0;38620
2014;1;18;13;0;38292,9
2014;1;18;14;0;38164,6
2014;1;18;15;0;37677,7
2014;1;18;16;0;37399,3
2014;1;18;17;0;37179,7
2014;1;18;18;0;37261,1
2014;1;18;19;0;37409,6
2014;1;18;20;0;37967,1
2014;1;18;21;0;41599,1
2014;1;18;22;0;40987,6
2014;1;18;23;0;39230,7
2014;1;19;0;0;37466,8
2014;1;19;1;0;34809,8
2014;1;19;2;0;32702,4
2014;1;19;3;0;31199,1
2014;1;19;4;0;30389,5
2014;1;19;5;0;29888,7
2014;1;19;6;0;29602,4
2014;1;19;7;0;28914,7
2014;1;19;8;0;28362,6
2014;1;19;9;0;29474,8
2014;1;19;10;0;30900,8
2014;1;19;11;0;31955,2
2014;1;19;12;0;32577
2014;1;19;13;0;32731,9
2014;1;19;14;0;32597,7
2014;1;19;15;0;32464,8
2014;1;19;16;0;32621,7
2014;1;19;17;0;33077,7
2014;1;19;18;0;33840,1
2014;1;19;19;0;34409,5
2014;1;19;20;0;35136,6
2014;1;19;21;0;38971,6
2014;1;19;22;0;39889,5
2014;1;19;23;0;39148,1
2014;1;20;0;0;37160,1
2014;1;20;1;0;34792,8
2014;1;20;2;0;32787,5
2014;1;20;3;0;31757
2014;1;20;4;0;31132,3
2014;1;20;5;0;31126,2
2014;1;20;6;0;32124,9
2014;1;20;7;0;33855,3
2014;1;20;8;0;36125,9
2014;1;20;9;0;39495,1
2014;1;20;10;0;41907,3
2014;1;20;11;0;43446,1
2014;1;20;12;0;43475,6
2014;1;20;13;0;43372,9
2014;1;20;14;0;44468,9
2014;1;20;15;0;45025,9
2014;1;20;16;0;45262,4
2014;1;20;17;0;44888,9
2014;1;20;18;0;42841,4
2014;1;20;19;0;40155,1
2014;1;20;20;0;39547,4
2014;1;20;21;0;43390,6
2014;1;20;22;0;44165,1
2014;1;20;23;0;43740,2
2014;1;21;0;0;41413,3
2014;1;21;1;0;37913,3
2014;1;21;2;0;35610,5
2014;1;21;3;0;34256,5
2014;1;21;4;0;33763,3
2014;1;21;5;0;33648
2014;1;21;6;0;34518,8
2014;1;21;7;0;36108,3
2014;1;21;8;0;38410,8
2014;1;21;9;0;42032,8
2014;1;21;10;0;44447,6
2014;1;21;11;0;45824,4
2014;1;21;12;0;45523
2014;1;21;13;0;45310,5
2014;1;21;14;0;46728
2014;1;21;15;0;47473,7
2014;1;21;16;0;47759,2
2014;1;21;17;0;47120,8
2014;1;21;18;0;44919,6
2014;1;21;19;0;41729,3
2014;1;21;20;0;40929,8
2014;1;21;21;0;44502,8
2014;1;21;22;0;45490,7
2014;1;21;23;0;45217,4
2014;1;22;0;0;42679
2014;1;22;1;0;39229,5
2014;1;22;2;0;36921,8
2014;1;22;3;0;35593,1
2014;1;22;4;0;34921,9
2014;1;22;5;0;34837,2
2014;1;22;6;0;35462,9
2014;1;22;7;0;36802,7
2014;1;22;8;0;39084,7
2014;1;22;9;0;42689,5
2014;1;22;10;0;44973
2014;1;22;11;0;46448,8
2014;1;22;12;0;46431,9
2014;1;22;13;0;46169,8
2014;1;22;14;0;47695,7
2014;1;22;15;0;48029,1
2014;1;22;16;0;48148,9
2014;1;22;17;0;47467,3
2014;1;22;18;0;45229,7
2014;1;22;19;0;41664,9
2014;1;22;20;0;40717
2014;1;22;21;0;43986,8
2014;1;22;22;0;44852,3
2014;1;22;23;0;44962,3
2014;1;23;0;0;42454,1
